,url,2nd_type
8,82.221.129.208,fake
14,abriluno.com,fake
55,angrypatriotmovement.com,fake
84,bigamericannews.com,fake
100,bostontribune.com,fake
162,conservativespirit.com,fake
179,creambmp.com,fake
192,dailyleak.org,fake
223,DeadlyClear.wordpress.com,fake
273,endoftheamericandream.com,fake
307,fprnradio.com,fake
385,investmentwatchblog.com,fake
419,liberaldarkness.com,fake
451,makeamericagreattoday.com,fake
475,nationalreport.net,fake
488,neonnettle.com,fake
510,newslogue.com,fake
513,newsmutiny.com,fake
528,notallowedto.com,fake
559,pamelageller.com,fake
584,politicops.com,fake
585,politicot.com,fake
598,prepperwebsite.com,fake
621,readconservatives.news,fake
623,reagancoalition.com,fake
826,theuspatriot.com,fake
929,usviewer.com,fake
